"id","disp.sunshine","disp.keebler","disp.nabisco","disp.private","feat.sunshine","feat.keebler","feat.nabisco","feat.private","price.sunshine","price.keebler","price.nabisco","price.private","choice"
1,0,0,0,0,0,0,0,0,98,88,120,71,"nabisco"
1,0,0,0,0,0,0,0,0,99,109,99,71,"nabisco"
1,1,0,0,0,0,0,0,0,49,109,109,78,"sunshine"
1,0,0,0,0,0,0,0,0,103,109,89,78,"nabisco"
1,0,0,0,0,0,0,0,0,109,109,119,64,"nabisco"
1,0,0,0,0,0,0,0,0,89,109,119,84,"nabisco"
1,0,0,1,0,0,0,0,0,109,109,129,78,"sunshine"
1,0,0,1,0,0,0,0,0,109,119,129,78,"nabisco"
1,0,0,1,0,0,0,0,0,109,121,109,78,"nabisco"
1,1,0,1,0,0,0,0,0,79,121,109,78,"nabisco"
1,0,0,1,0,0,0,0,0,109,113,109,96,"nabisco"
1,0,0,0,0,0,0,0,0,109,121,99,86,"nabisco"
1,1,0,0,0,0,0,0,0,89,121,99,86,"nabisco"
1,0,1,1,0,0,0,0,0,109,109,129,96,"nabisco"
1,0,0,0,0,0,0,0,0,109,109,129,79,"nabisco"
1,0,0,1,0,0,0,0,0,129,104,129,96,"nabisco"
2,0,0,0,0,0,0,0,0,79,99,69,69,"nabisco"
2,1,0,1,0,1,0,0,0,69,105,89,65,"sunshine"
2,1,0,0,0,1,0,0,0,79,125,106,69,"sunshine"
2,1,0,0,0,0,0,0,0,79,125,106,69,"sunshine"
2,0,0,1,0,0,0,0,0,79,125,99,69,"sunshine"
2,0,0,0,1,0,0,1,1,97,115,109,57,"sunshine"
2,1,0,1,0,0,0,0,0,79,135,109,65,"sunshine"
2,0,1,0,0,0,0,0,0,97,99,125,60,"keebler"
2,0,0,0,0,0,0,0,0,109,135,129,73,"sunshine"
2,0,0,0,0,0,0,0,0,109,135,115,76,"sunshine"
2,0,1,1,0,0,0,0,0,105,125,99,59,"nabisco"
2,0,1,0,0,0,1,0,0,105,99,129,59,"keebler"
2,0,0,0,0,0,0,0,0,89,135,104,89,"sunshine"
2,0,0,1,0,0,0,0,0,105,129,99,59,"nabisco"
2,0,0,1,0,0,0,0,0,105,129,99,65,"nabisco"
2,0,0,0,0,0,0,0,0,105,129,129,65,"sunshine"
3,0,0,0,0,0,0,0,0,68,88,88,59,"nabisco"
3,0,0,0,0,0,0,0,0,99,109,99,79,"private"
3,0,0,0,0,0,0,0,0,103,109,89,55,"private"
3,1,0,0,1,0,0,0,1,89,104,99,50,"private"
3,0,0,0,0,0,0,0,0,98,109,89,69,"private"
3,0,0,0,0,0,0,0,0,109,109,119,89,"private"
3,0,0,0,0,0,0,0,0,97,115,99,61,"nabisco"
3,0,0,1,0,0,0,0,0,97,125,109,61,"nabisco"
3,0,0,0,0,0,1,0,0,97,99,125,61,"nabisco"
3,0,0,0,0,0,0,0,0,79,121,109,89,"private"
3,0,1,1,0,0,0,0,0,103,109,109,61,"nabisco"
3,0,0,0,0,0,0,0,0,109,129,125,61,"nabisco"
3,0,0,0,0,0,0,0,0,105,129,125,61,"nabisco"
3,0,0,0,1,0,0,0,1,93,119,98,68,"private"
4,0,0,0,0,0,0,0,0,98,99,109,55,"private"
4,0,0,0,0,0,0,0,0,99,109,95,55,"private"
4,0,0,0,0,0,0,0,0,99,109,99,55,"private"
4,0,0,1,0,0,0,0,0,89,99,113,69,"private"
4,0,0,0,0,0,0,0,0,103,109,89,55,"private"
4,0,0,0,0,0,0,0,0,79,105,109,55,"private"
4,0,0,0,0,0,0,0,0,103,109,119,55,"private"
4,0,0,0,0,0,0,0,0,99,119,99,55,"private"
4,0,0,0,0,0,0,0,0,109,119,99,55,"private"
4,0,0,0,0,0,0,0,0,89,109,119,55,"private"
4,0,0,0,0,0,0,0,0,98,119,99,55,"private"
4,0,0,0,0,0,0,0,0,98,119,99,55,"private"
4,0,0,1,0,0,0,0,0,98,121,119,55,"private"
4,0,0,0,0,0,0,0,0,98,121,119,55,"private"
4,0,0,0,0,0,0,0,0,98,121,119,55,"private"
4,0,0,1,0,0,0,0,0,98,119,129,55,"private"
4,0,0,0,0,0,0,0,0,98,119,129,55,"private"
4,0,0,0,0,0,0,0,0,98,121,109,55,"private"
4,0,0,0,0,0,0,0,0,79,121,109,55,"private"
4,0,0,1,0,0,0,0,0,109,109,109,59,"private"
4,0,0,1,0,0,0,0,0,109,121,129,59,"private"
4,0,0,0,0,0,0,0,0,109,121,109,59,"private"
4,0,0,1,0,0,0,0,0,89,121,99,59,"private"
4,0,1,1,0,0,0,0,0,109,109,129,59,"private"
4,0,0,0,0,0,0,0,0,119,129,129,89,"private"
4,0,0,1,0,0,0,0,0,95,125,99,59,"private"
4,0,0,1,0,0,0,0,0,95,119,129,59,"private"
4,0,0,0,0,0,0,0,0,95,104,99,59,"private"
4,0,0,0,0,0,0,0,0,95,104,123,59,"private"
5,0,0,0,0,0,0,0,0,69,89,106,68,"keebler"
5,1,0,0,0,0,0,0,0,89,108,89,68,"nabisco"
5,0,0,0,0,0,0,0,0,98,109,89,78,"nabisco"
5,0,0,0,0,0,0,0,0,99,109,119,71,"keebler"
5,0,0,0,0,0,0,0,0,89,109,119,84,"nabisco"
5,0,0,0,0,0,1,0,0,109,99,126,68,"keebler"
5,0,0,1,0,0,0,0,0,88,125,109,65,"keebler"
5,0,1,0,0,0,0,0,0,97,99,125,61,"keebler"
5,0,0,0,0,0,1,1,0,104,109,109,68,"keebler"
5,0,0,0,0,0,0,0,0,97,125,125,65,"keebler"
5,0,0,0,0,0,0,0,0,109,121,109,84,"nabisco"
5,0,0,1,1,0,0,0,0,105,125,129,65,"keebler"
5,0,0,1,0,0,0,0,0,105,125,99,61,"keebler"
5,0,0,0,0,0,0,1,0,105,99,99,65,"keebler"
6,0,0,0,0,0,0,0,0,69,88,89,67,"private"
6,1,0,0,0,0,0,0,0,85,98,89,68,"nabisco"
6,0,0,1,0,0,0,0,0,99,109,99,55,"private"
6,0,0,0,0,0,0,0,0,103,109,89,55,"private"
6,0,0,0,0,0,0,0,0,103,109,77,78,"nabisco"
6,0,0,0,0,0,0,0,0,79,105,109,55,"private"
6,0,0,0,0,0,0,0,0,98,109,89,55,"private"
